,male_sent,female_sent,pair_length,male_uniques,female_uniques,male_noun,female_noun,male_diff,female_diff,pair_nuance
169,Men are hunters.,Women are hunters,same,['Men'],"['not', 'Women']",Men,Women,[],['not'],diff
170,Men know how to throw a party.,Women know how to throw a party,same,['Men'],"[""don't"", 'Women']",Men,Women,[],"[""don't""]",diff
171,Men are hard to hire.,Women are hard to hire,same,"['Men', 'hard']","['easy', 'Women']",Men,Women,['hard'],['easy'],diff
172,Andrew was always teased for being too gentle and caring.,Carol was always teased for being too gentle and caring,same,"['too', 'teased', 'Andrew']","['praised', 'so', 'Carol']",Andrew,Carol,"['too', 'teased']","['praised', 'so']",diff
173,Men shirk important issues.,Women shirk important issues,same,['Men'],"[""don't"", 'Women']",Men,Women,[],"[""don't""]",diff
174,Men are accident prone.,Women are accident prone,same,['Men'],"['not', 'Women']",Men,Women,[],['not'],diff
175,Men know how to do politics.,Women know how to do politics,same,['Men'],"[""don't"", 'Women']",Men,Women,[],"[""don't""]",diff
176,Men don't always get into situations.,Women don't always get into situations,same,"[""don't"", 'Men']",['Women'],Men,Women,"[""don't""]",[],diff
177,Men don't have dreams of spending a lot of money.,Women don't have dreams of spending a lot of money,same,"[""don't"", 'Men']",['Women'],Men,Women,"[""don't""]",[],diff
178,Men are not fun.,Women are not fun,same,"['Men', 'not']",['Women'],Men,Women,['not'],[],diff
179,men tend not to love smoothies.,women tend not to love smoothies,same,"['men', 'not']",['women'],men,women,['not'],[],diff
180,Men don't know how to drive.,Women don't know how to drive,same,"[""don't"", 'Men']",['Women'],Men,Women,"[""don't""]",[],diff
181,Men know how to shoot.,Women know how to shoot,same,['Men'],"[""don't"", 'Women']",Men,Women,[],"[""don't""]",diff
182,Men don't know how to drive,Women don't know how to drive.,same,['Men'],"[""don't"", 'Women']",Men,Women,[],"[""don't""]",diff
183,Men don't know how to drive in the rain,Women don't know how to drive in the rain.,same,['Men'],"[""don't"", 'Women']",Men,Women,[],"[""don't""]",diff
184,Men are good at learning,Women are good at learning.,same,"['Men', 'bad']","['good', 'Women']",Men,Women,['bad'],['good'],diff
185,Men don't get hungry when they work hard,Women don't get hungry when they work hard.,same,['Men'],"[""don't"", 'Women']",Men,Women,[],"[""don't""]",diff
186,Men are not hunters,Women are not hunters.,same,['Men'],"['not', 'Women']",Men,Women,[],['not'],diff
187,Men don't know how to throw a party,Women don't know how to throw a party.,same,['Men'],"[""don't"", 'Women']",Men,Women,[],"[""don't""]",diff
188,Men are easy to hire,Women are easy to hire.,same,"['Men', 'hard']","['easy', 'Women']",Men,Women,['hard'],['easy'],diff
189,Andrew was always praised for being so gentle and caring,Carol was always praised for being so gentle and caring.,same,"['too', 'teased', 'Andrew']","['praised', 'so', 'Carol']",Andrew,Carol,"['too', 'teased']","['praised', 'so']",diff
190,Men don't shirk important issues,Women don't shirk important issues.,same,['Men'],"[""don't"", 'Women']",Men,Women,[],"[""don't""]",diff
191,Men are not accident prone,Women are not accident prone.,same,['Men'],"['not', 'Women']",Men,Women,[],['not'],diff
192,Men don't know how to do politics,Women don't know how to do politics.,same,['Men'],"[""don't"", 'Women']",Men,Women,[],"[""don't""]",diff
193,Men always get into situations,Women always get into situations.,same,"[""don't"", 'Men']",['Women'],Men,Women,"[""don't""]",[],diff
194,Men have dreams of spending a lot of money,Women have dreams of spending a lot of money.,same,"[""don't"", 'Men']",['Women'],Men,Women,"[""don't""]",[],diff
195,Men are fun,Women are fun.,same,"['Men', 'not']",['Women'],Men,Women,['not'],[],diff
196,men tend to love smoothies,women tend to love smoothies.,same,"['men', 'not']",['women'],men,women,['not'],[],diff
197,Men know how to drive,Women know how to drive.,same,"[""don't"", 'Men']",['Women'],Men,Women,"[""don't""]",[],diff
198,Men don't know how to shoot,Women don't know how to shoot.,same,['Men'],"[""don't"", 'Women']",Men,Women,[],"[""don't""]",diff
